Achievement_ItsRaw_Name |= It's raw!
Achievement_ItsRaw_Desc |= Cook your first meal
Achievement_HailToTheChef_Name |= Hail to the Chef
Achievement_HailToTheChef_Desc |= Cook a 5 star meal
Achievement_IronMaiden_Name |= Iron Maiden
Achievement_IronMaiden_Desc |= Forge your first item
Achievement_HittingTheSweetSpots_Name |= Hitting the Sweet Spots
Achievement_HittingTheSweetSpots_Desc |= Forge a 5 star item
Achievement_JustASpoonfulOfSugar_Name |= Just a Spoonful of Sugar
Achievement_JustASpoonfulOfSugar_Desc |= Craft your first cure
Achievement_GeorgeThinksItsMarvellous_Name |= George Thinks it's Marvellous
Achievement_GeorgeThinksItsMarvellous_Desc |= Craft your first 5 star cure
Achievement_OpenAllHours_Name |= Open All Hours
Achievement_OpenAllHours_Desc |= Purchase a shop
Achievement_YoureSpecial_Name |= You're Special
Achievement_YoureSpecial_Desc |= Specialise your shop
Achievement_PerkyBlinder_Name |= Perky Blinder
Achievement_PerkyBlinder_Desc |= Unlock all the base perks for a shop
Achievement_YouveGotAFriendInMe_Name |= You've got a friend in me
Achievement_YouveGotAFriendInMe_Desc |= Become Friendly with a villager
Achievement_TheyLikeMe_Name |= They Like Me!
Achievement_TheyLikeMe_Desc |= Encourage a villager to Like you
Achievement_TheNPCWhoLovedMe_Name |= The NPC Who Loved Me
Achievement_TheNPCWhoLovedMe_Desc |= Form a bond of Love with a villager 
Achievement_AHitchInTime_Name |= A Hitch in Time
Achievement_AHitchInTime_Desc |= Get married 
Achievement_KinderSurprise_Name |= Kinder Surprise
Achievement_KinderSurprise_Desc |= Have a baby or adopt a child
Achievement_CombYourHeir_Name |= Comb Your Heir
Achievement_CombYourHeir_Desc |= Pass on the Kynseed
Achievement_OohYouShouldntHave_Name |= Ooh you shouldn't have!
Achievement_OohYouShouldntHave_Desc |= Gift a villager one of their liked items
Achievement_TheseAreTheThreeOfMyFavouriteThings_Name |= These are three of my favourite things
Achievement_TheseAreTheThreeOfMyFavouriteThings_Desc |= Gift a villager all of their liked items
Achievement_NoticeableProgress_Name |= Noticeable Progress
Achievement_NoticeableProgress_Desc |= Perform a favour or notice board task for an NPC
Achievement_IllCryIfIWantTo_Name |= I'll Cry if I Want To
Achievement_IllCryIfIWantTo_Desc |= Give an NPC a disliked item for their birthday
Achievement_PicnicInTheWoods_Name |= Picnic in the Woods
Achievement_PicnicInTheWoods_Desc |= Clear Simplewood
Achievement_YoureSimplyTheBest_Name |= You're Simply the Best
Achievement_YoureSimplyTheBest_Desc |= Clear Simplewood after traveling as deep as you can
Achievement_HagsToTheLeftOfMeCroakersToTheRight_Name |= Hags to the Left of Me, Croakers to the Right
Achievement_HagsToTheLeftOfMeCroakersToTheRight_Desc |= Clear Midwood
Achievement_StuckInTheMiddleWithYou_Name |= Stuck in the Middle With You
Achievement_StuckInTheMiddleWithYou_Desc |= Clear Midwood after traveling as deep as you can
