Chat_Gift |= A gift? For me?
Chat_Gift[P] |= An offering? For me?
Chat_Gift[Q] |= You want to give me a gift?
Chat_Gift[J] |= Ooh! A present?
Chat_Gift[B] |= A gift? Nice to know I am respected.
Chat_Gift[C] |= A gift? I bet I already have one.
Chat_CancelGiftTask |= Oh, ok.
Chat_CancelGiftTask[P] |= Getting a message from the Goddesses to wait?
Chat_CancelGiftTask[Q] |= Oh! Did you have a rethink or not got the right thing?
Chat_CancelGiftTask[J] |= Changed your mind? That's fine!
Chat_CancelGiftTask[B] |= I knew you wouldn't have what I wanted yet.
Chat_CancelGiftTask[C] |= I hate it when people cancel gifting.
Chat_CancelGift |= Oh, changed your mind?
Chat_CancelGift[P] |= Goddess changed your mind?
Chat_CancelGift[Q] |= Did you mean to press Cancel?
Chat_CancelGift[J] |= Changed your mind? That's ok!
Chat_CancelGift[B] |= I probably had it anyway.
Chat_CancelGift[C] |= Changed your mind eh? Typical.
Chat_ChangeFavour |= Oh, ok.
Chat_AnotherGift |= Another gift? 
Chat_AnotherGift[P] |= Another offering for me?
Chat_AnotherGift[Q] |= More? Hurray!
Chat_AnotherGift[J] |= More gifts?
Chat_AnotherGift[B] |= Proper respect. I like it.
Chat_AnotherGift[C] |= I don't have space to store all these.
Chat_DoNotWant |= I don't need this, thanks.
Chat_DoNotWant[P] |= Not for me.
Chat_DoNotWant[Q] |= Very kind of you but I already have a huge stash.
Chat_DoNotWant[J] |= Oh bless you! Sadly I have to decline.
Chat_DoNotWant[B] |= I already have more than any person needs.
Chat_DoNotWant[C] |= Why would you want to give me that?
Chat_ThankYou |= Thank you very much.
Chat_ThankYou[P] |= Bless you.
Chat_ThankYou[Q] |= Many gratitudes.
Chat_ThankYou[J] |= Thank you muchly!
Chat_ThankYou[B] |= Thanks, I suppose.
Chat_ThankYou[C] |= I suppose you want thanking?
Chat_Goodbye |= Goodbye.
Chat_Goodbye[P] |= Goddesses go with you. 
Chat_Goodbye[Q] |= See you later.
Chat_Goodbye[J] |= Have a good one! 
Chat_Goodbye[C] |= Goodbye, I suppose.
Chat_AskGossip |= Thank you! What kind of gossip would you like?
Chat_AskGossip[P] |= Which knowledge would you prefer?
Chat_AskGossip[Q] |= I have much juicy gossip. What would you like to know?
Chat_AskGossip[J] |= Ooh, what can I tell you about on the hush-hush?
Chat_AskGossip[B] |= What would you like to know? Knowledge is power!
Chat_AskGossip[C] |= I suppose I have to tell you something useful, sigh.

Chat_Happening_NOTHING |= Not much is happening.
Chat_Happening_NOTHING |= It's pretty dull actually.
Chat_Happening_NOTHING |= Ho hum.
Chat_Happening_NOTHING |= Absolutely nothing going on.
Chat_Happening_NOTHING |= It's as dead as a doornail.
Chat_Happening_NOTHING[P] |= The Goddesses must be napping.
Chat_Happening_NOTHING[P] |= Blessed boredom.
Chat_Happening_NOTHING[P] |= It's quiet in Opal today.
Chat_Happening_NOTHING[P] |= A blessed day for doing nothing.
Chat_Happening_NOTHING[P] |= It's as quiet as Aurore's whispers.
Chat_Happening_NOTHING[Q] |= Nothing is going on. It's as quiet as a mouse in slippers.
Chat_Happening_NOTHING[Q] |= About as much happening as nothing.
Chat_Happening_NOTHING[Q] |= I am inbetween the inbetween parts of my day.
Chat_Happening_NOTHING[Q] |= It's one of those days where I am at odds with myself.
Chat_Happening_NOTHING[Q] |= Ssshhh! Hear that? Exactly. The sound of nothing.
Chat_Happening_NOTHING[J] |= Absolutely nothing fun going on for once!
Chat_Happening_NOTHING[J] |= It's so dull I could explode!
Chat_Happening_NOTHING[J] |= I am having a break from joviality.
Chat_Happening_NOTHING[J] |= Haha! That's funny! Or would be if there was something funny happening.
Chat_Happening_NOTHING[J] |= A great big, fat zero.
Chat_Happening_NOTHING[B] |= Peaceful as it should be.
Chat_Happening_NOTHING[B] |= I am enjoying talking to myself.
Chat_Happening_NOTHING[B] |= Just me and my massive ego, doing nothing.
Chat_Happening_NOTHING[B] |= It's pretty quiet around here.
Chat_Happening_NOTHING[B] |= I am giving my wonderful self a break from doing anything.
Chat_Happening_NOTHING[C] |= It's too quiet.
Chat_Happening_NOTHING[C] |= It's so dull around here. Just as I like it.
Chat_Happening_NOTHING[C] |= Oh absolutely nothing is going on. Is there ever?
Chat_Happening_NOTHING[C] |= This place needs more entertainment. It's as lively as a lump of coal.
Chat_Happening_NOTHING[C] |= What's happening? I'll tell you what's happening! Well, I would if something were.

Chat_Happening_SLEEP |= Just heading to my little bed.
Chat_Happening_SLEEP |= Am off to the land of Nod soon.
Chat_Happening_SLEEP |= I am just making my way to bed.
Chat_Happening_SLEEP |= I am so tired I can't wait to flop into my bed.

Chat_Happening_SLEEP[P] |= The Goddesses expect us to rest, so that is where I am going now.
Chat_Happening_SLEEP[P] |= I am going to bed to dream of Opal and our beloved Goddesses.
Chat_Happening_SLEEP[P] |= Am going to get some rest, so I have the energy to worship the Goddesses.
Chat_Happening_SLEEP[P] |= Sleep is for the true. I must go to my bed to seek the truth.

Chat_Happening_SLEEP[J] |= My bed beckons! Those feather pillows tickle my nose!
Chat_Happening_SLEEP[J] |= Getting ready for bed. I love my bed. I would marry it if I could!
Chat_Happening_SLEEP[J] |= Soft pillows and a bouncy mattress ahoy!
Chat_Happening_SLEEP[J] |= I am going home to snore my head off!
Chat_Happening_SLEEP[J] |= Bedtime soon! Can't wait!

Chat_Happening_SLEEP[B] |= Bedtime. My bed is the comfiest in Quill, I am sure.
Chat_Happening_SLEEP[B] |= Time for a deserved sleep. I bet I can sleep better than you can.
Chat_Happening_SLEEP[B] |= I am going to my home to rest my big head on my big pillow.
Chat_Happening_SLEEP[B] |= Bedtime! My bed cost a fortune, but you can't deny yourself quality sleep.

Chat_Happening_SLEEP[Q] |= Twinkle twinkle little star, How I wonder what you are. Well, it's the eye of the sky raven, of course!
Chat_Happening_SLEEP[Q] |= I am going to bed where I shall dream of a little dream of meat.
Chat_Happening_SLEEP[Q] |= I am going to bed soon. I once dreamt I ate a pillow and woke to find a marshmallow in my bed.
Chat_Happening_SLEEP[Q] |= Am going to bed. I sometimes sleep upside down to see if my dreams are inverted.

Chat_Happening_SLEEP[C] |= I am going to bed, but it is lumpier than my breakfast porridge.
Chat_Happening_SLEEP[C] |= I must hasten to bed, even though my pillows are like flapjacks. I really don't like them!
Chat_Happening_SLEEP[C] |= Going home to bed but not sure I will be able to sleep as usual. Too much noise. I wish those moths would shut up.
Chat_Happening_SLEEP[C] |= Bedtime shortly. Don't know why I bother. I never have interesting dreams.

Chat_Happening_SLEEP[Spouse] |= Time for beddy bye-byes! 
Chat_Happening_SLEEP[Spouse] |= I need a good sleep. Goodnight dear.
Chat_Happening_SLEEP[Spouse] |= I am heading to bed for a well-deserved slumber.
Chat_Happening_SLEEP[Spouse] |= It's bedtime. Don't stay up too late, your eyes are redder than our tomatoes.

Chat_Happening_SLEEP[OwnKid] |= Awww do I have to go to bed?
Chat_Happening_SLEEP[OwnKid] |= Oh is it really bedtime?
Chat_Happening_SLEEP[OwnKid] |= I am going to sleep. Goodnight dad, mum, whatever your preference.
Chat_Happening_SLEEP[OwnKid] |= Night night! Don't let the bed witch bite!

Chat_Happening_SLEEP[OwnKidAdult] |= I am going to do what any son or daughter would do for their parents...sleep.
Chat_Happening_SLEEP[OwnKidAdult] |= It's my bedtime. I need at least 25 hours per day.
Chat_Happening_SLEEP[OwnKidAdult] |= Going to bed. Goodnight parent of mine.
Chat_Happening_SLEEP[OwnKidAdult] |= It's my bedtime. I have an appointment with Mr Snooze.

Chat_Happening_GETUP |= A good sleep makes you ready for the day ahead.
Chat_Happening_GETUP |= Another day beckons with its finger of adventure.
Chat_Happening_GETUP |= I had a decent sleep. Can't complain, really.
Chat_Happening_GETUP |= Feeling refreshed and ready to tackle the day.

Chat_Happening_GETUP[P] |= Another day of wonderful worship and loving nature ahead.
Chat_Happening_GETUP[P] |= The Goddesses visited me in my sleep to thank me for my dedication!
Chat_Happening_GETUP[P] |= I slept the sleep of the devout. Absolutely horribly as we should suffer for our sins.
Chat_Happening_GETUP[P] |= Am glad to be awake. When I am asleep, I cannot revere our wonderful gift of nature.

Chat_Happening_GETUP[J] |= I slept like a log! All brown and long!
Chat_Happening_GETUP[J] |= Oh, I feel magnificent after that kip! I am a great kipper!
Chat_Happening_GETUP[J] |= I dreamt I was a marshmallow and a pillow ate me! Loved it!
Chat_Happening_GETUP[J] |= Sleep is like a stone egg. You can't beat it!

Chat_Happening_GETUP[B] |= I slept better than you last night. And that's not me being competitive. I'm the most uncompetitive person there is!
Chat_Happening_GETUP[B] |= Another night passed, and another day that the world welcomes my presence.
Chat_Happening_GETUP[B] |= You can't buy a good sleep, they say. Well, I did!
Chat_Happening_GETUP[B] |= I had my beauty sleep. You obviously had an ugly sleep.

Chat_Happening_GETUP[Q] |= What a dream! Sheep were counting me jumping over fences. After that, things got woolly.
Chat_Happening_GETUP[Q] |= I dreamt I slept on a sausage. It was the wurst sleep I ever had.
Chat_Happening_GETUP[Q] |= I had a nightmare last night. I was an egg and the stress was so much I nearly cracked. No yolk!
Chat_Happening_GETUP[Q] |= I think one of my bedsprings hates me. I should sleep on onions. Bedspring onions.

Chat_Happening_GETUP[C] |= I slept like the dead. Rotten.
Chat_Happening_GETUP[C] |= My bed is the worst. I may as well just punch myself in the spine all night.
Chat_Happening_GETUP[C] |= Am sure the bedbugs have a vendetta against me. I have more bites than a vampire at a neck festival.
Chat_Happening_GETUP[C] |= Good morning? What's good about it? Just push me in the funeral pool now and be done with it.

Chat_Happening_WORK |= Just working. An honest day's work hurt nobody. Unless that work is fighting monsters.
Chat_Happening_WORK |= Work, work and some more work.
Chat_Happening_WORK |= Earning my keep. Someone has to pay the bills. Those duck money collectors get you every time.
Chat_Happening_WORK |= Bit of this. Bit of that. Ducking and diving, wheeling and dealing. More pennies for the jar.

Chat_Happening_WORK[P] |= I am going to work now. I hope the Goddesses can see how much effort I put in.
Chat_Happening_WORK[P] |= Work separates the devout from the lazy. If you love your Goddess, you are energised to work hard.
Chat_Happening_WORK[P] |= Goddesses bless me with the work I am about to do.
Chat_Happening_WORK[P] |= I am looking forward to a good honest bit of work.

Chat_Happening_WORK[J] |= Work! I love it! When I am not hating it!
Chat_Happening_WORK[J] |= Working. I work about as hard as the butter in my larder. If only I had any butter!
Chat_Happening_WORK[J] |= Got to love a bit of work! Seeing people smile makes the work go easy. I always go to work on a smile. I can't ride pigs that's why.
Chat_Happening_WORK[J] |= Work time! Work is never a chore if you have the right attitude.

Chat_Happening_WORK[B] |= I am the hardest worker in Quill, which is why I am so renowned.
Chat_Happening_WORK[B] |= I am working, but it's a cinch for talented folk like me.
Chat_Happening_WORK[B] |= If they had the best worker award, I would win it, I am sure. There is no I in pie, but there is a ME in meat.
Chat_Happening_WORK[B] |= I am meant to be working, but often work just does itself for me. I have no idea what that means.

Chat_Happening_WORK[Q] |= I am going to work. It's the only way to earn enough Brass to be able to chew on the coins.
Chat_Happening_WORK[Q] |= My dialogue is meant to suggest I am working but I often forget who I am. Confused? Me too.
Chat_Happening_WORK[Q] |= I will be pretending to work. This is a role-playing game, after all!
Chat_Happening_WORK[Q] |= Earning Brass. Would be rich if we earned Wood or Soil.

Chat_Happening_WORK[C] |= Got to work. I am so happy about that, as you can probably tell from my grimace.
Chat_Happening_WORK[C] |= I am meant to be 'working'. I said that in inverted commas to emphasise my displeasure.
Chat_Happening_WORK[C] |= My job is like a bee on a flower. It sucks. I just wish it would buzz off.
Chat_Happening_WORK[C] |= My back aches from complaining about work.

Chat_Happening_FARMING |= Am going to toil in the soil. Need to keep our crop squares tiptop.
Chat_Happening_FARMING[Spouse] |= You set the order for me to tend to the crops, so I feel compelled to do so.
Chat_Happening_FARMING[Spouse] |= I am doing a bit of farming. The soil needs tending to as a lover would tend to their love.
Chat_Happening_FARMING[Spouse] |= Am going to toil in the soil. Need to keep our crop squares tiptop.
Chat_Happening_FARMING[Spouse] |= There's farm work needs doing. Crops and soil, work and toil. Those plots are our dinner plates.

Chat_Happening_GOHOME |= I am going home.
Chat_Happening_GOHOME |= Heading to my lovely home.
Chat_Happening_GOHOME |= I am going back to my house.
Chat_Happening_GOHOME |= Just walking home. Nothing exciting.

Chat_Happening_GOHOME[P] |= I am going home to think of our beautiful Fae deities.
Chat_Happening_GOHOME[P] |= Home time. A time to reflect on our place in the order of things.
Chat_Happening_GOHOME[P] |= I am going back to my humble home to meditate.
Chat_Happening_GOHOME[P] |= Bless the Goddesses for my little home. I am heading there now.

Chat_Happening_GOHOME[J] |= Home is where the heart is. I keep mine in a jar under the bed. Wahey!
Chat_Happening_GOHOME[J] |= I am going back to my house to watch the fire dancing. It's really entertaining!
Chat_Happening_GOHOME[J] |= Just heading home. A spring in my step. Literally, I have some coiled metal in my shoe.
Chat_Happening_GOHOME[J] |= I'm so happy to be heading back to my house. It's where all my fond memories are, and my stuff.

Chat_Happening_GOHOME[B] |= Haven't you got a home to go to like me? Probably not as nice as mine, though.
Chat_Happening_GOHOME[B] |= I am heading home after a nice walk showing off my superior clothing quality.
Chat_Happening_GOHOME[B] |= I am going home. Some of us have nice homes to go to and don't waste time chatting with folk.
Chat_Happening_GOHOME[B] |= Going home to my silk sheets, fine food and spotless windows.

Chat_Happening_GOHOME[Q] |= I am going back to my house. It's nothing much in the grand scheme of things, but it has a working toilet and see-through windows, so all good.
Chat_Happening_GOHOME[Q] |= Home time! I love to sit in my chair and stare at the spiders in the rafters. I named mine Rita, Sue and Kevin. Sadly, Bob got squashed.
Chat_Happening_GOHOME[Q] |= I am walking home. I love the sight of my three walls. Apparently, there are four, but I can't count that high.
Chat_Happening_GOHOME[Q] |= I am going to that place where everybody knows my name. No, not the pub...home! Cheers!

Chat_Happening_GOHOME[C] |= I am going home, and my feet hurt. Can never get good shoes these days. It's cobblers, I tell you.
Chat_Happening_GOHOME[C] |= I am going back to my house. It is damp and smelly. I would burn it down, but it's just too damp.
Chat_Happening_GOHOME[C] |= It's time for me to go home. Well, I would if my dandelion worked. I sneezed, and now it is apparently 12 hours later.
Chat_Happening_GOHOME[C] |= Going home. I hate going home. I like being at home sometimes; I just don't like the going there part.

Chat_Happening_GARDEN |= Just sorting out the garden.
Chat_Happening_GARDEN |= A nice bit of gardening.
Chat_Happening_GARDEN |= Just tending to my humble garden.
Chat_Happening_GARDEN |= Lovely day for some gardening.

Chat_Happening_GARDEN[P] |= Gardening. It is growth that makes a person better.
Chat_Happening_GARDEN[P] |= Gardening is the best way to appreciate nature's bounty. 
Chat_Happening_GARDEN[P] |= I need to tend to my garden. It is one small way to give back to nature.
Chat_Happening_GARDEN[P] |= I am growing simple things for my simple self. The Goddesses appreciate that, I am sure.

Chat_Happening_GARDEN[J] |= Got to do some gardening. It's great to be outdoors getting some fresh air!
Chat_Happening_GARDEN[J] |= I am gardening. You just can't beat it! Especially if you love gardening.
Chat_Happening_GARDEN[J] |= Gardening makes me smile. I think my gardening pants are too tight.
Chat_Happening_GARDEN[J] |= Get out and do some gardening like me! It's great fun!

