CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= I wish we had more money.
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= You need to try earn more
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= I keep dreaming we swim in Brass.
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= We are a bit short of money lately.
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= We have to do better.
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= I want a spouse who can earn their Brass.
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= This is the life. Getting cosily by in our own place.
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= I feel we can really get somewhere in life.
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= Having some money is nice.
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= A nice farm. Decent money. Stability is good.
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= Ahh the simple life.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= I love being rich
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= The problem with having so much money is that you want more.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= Could you buy me something nice? We have enough money!
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= Money talks. Not literally.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= I never dreamed I would be married to a money machine.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= Do you think I am a gold-digger?
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= Money is funny in a rich man's world.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= Nice Brass, shame about the face. Just kidding.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= I love that I am rich. I mean we.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SUN |= Time to get a tan!
CONTEXTDIALOGUE_SPOUSE_WEATHER_SUN |= It's like an oven out today!
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= Looks like rain again.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= It's that fine rain that soaks you through.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= Spring showers last for hours.
