FEED_PIGS_TITLE |= Feed {0} pigs
FEED_PIG_TITLE |= Feed the pig
UNCLE_BIRTHDAY_TITLE |= Present for Uncle Bill
FEED_CAT_TITLE |= Feed cat
FEED_CAT_DESC |= Feed your cat.
FEED_DOG_TITLE |= Feed dog
FEED_DOG_DESC |= Feed your dog.
FILL_TROUGH_TITLE |= Fill water trough
PLANT_N_HARVEST_TITLE |= Plant and harvest {0} seeds
WATER_CROPS_TITLE |= Water a growing crop
WATER_CROPS_DESC |= Use a watering can to water your growing crop.
COLLECT_HONEY_TITLE |= Collect Honey
COLLECT_HONEY_DESC |= Gather some honey from beehives using a container.
FIND_BONE_TITLE |= Find dog a bone
HARVEST_CABBAGES_TITLE |= Harvest {0} Cabbages
MAKE_RECIPE_TITLE |= Cook a recipe
MAKE_RECIPE_DESC |= Gather some ingredients and craft any recipe at the Stove.
PICK_DANDELION_TITLE |= Pick a dandelion
BUY_BUCKET_TITLE |= Buy a Tin Bucket
KEY_FOR_WEST_GATE_TITLE |= Retrieve key from Truffles
KEY_FOR_WEST_GATE_DESC |= Get the key out of Truffles somehow.
BUY_SEEDS_TITLE |= Buy seeds from Market
GET_SICKLE_TITLE |= Get a Sickle from the blacksmith
LEARN_TO_COOK_TITLE |= Learn to cook
HARVEST_CARROTS_TITLE |= Harvest {0} Carrots
DRUIDA_FESTIVE_TITLE |= Attend Druida's Day festivities
MEET_FAIRWEATHER_TITLE |= Meet Fairweather
GODDESS_OFFERING_TITLE |= Give Goddess Offering
GODDESS_WORSHIP_TITLE |= Assign your Goddess Favour
OFFERING_TITLE |= Make a Brounie offering
MEET_CHARACTER_TITLE |= Meet {0}
MAPSTONE_TITLE |= Unlock map of {0}
PLANT_KYNSEED_TITLE |= Plant the Kynseed
PLANT_KYNSEED_DESC |= Go to the sparkling spot to the west of your house, on the hill overlooking the pond.\nInteract with the spot to plant the Kynseed.\nIf you fail to plant it and die, then it is game over.
FEED_PIGS_DESC |= Our porcine friends love nothing better than food. Except mud. Food and mud. And sleeping. Food, mud and sleeping. And being ridden around. Okay they like a lot of things, but they won't like you unless you feed them. Throw something into their pen, or interact and choose the feed option.
UNCLE_BIRTHDAY_DESC |= Your Uncle is after a gift for his birthday today.
FILL_TROUGH_DESC |= Not to be mistaken for Phil the Trough, a Poppyhill farmer who had a long body and drank nothing but water. Just get a tin bucket and use it on a fresh water source (well, we can't give you any clues). Then hold the bucket and pour it into the trough. Easy peasy pigsy drinky.
PLANT_N_HARVEST_DESC |= Step one. Buy seeds. Step two. Go to a stripey soil patch and interact. Step three. Choose the seed you wish to plant. Step four. Water the seed every day. Step five. Pick when ripe. Step six. There is no step six. Step seven. Or seven.
FIND_BONE_DESC |= Get a shovel and get your hound to Follow you. Watch out for the double WOOF and dig where you see the little bump of soil your dog has helpfully marked. Who knows what prize you may find hidden below! (even we don't know!)
HARVEST_CABBAGES_DESC |= Pick up 4 ripe cabbages. It's as easy as 1,2,3...er 4. They say cabbages are the vegetable that holds the world together, although other people think it's Fae magiks and some idiots think the world is round! It's 2D, for Freyl's sake!
CURE_ILLNESS_DESC |= Uncle Bill has got a case of The Greens. Not an actual case, hidden under his bed. Find him a cure, either natural or expensively procured from somewhere like, you know, the Apothecary.
PICK_DANDELION_DESC |= Dandelions are the clocks of Quill. Find these little fluffy fellas all over the land and pick one. You will notice a clock appear. Simply look at the largest seed to see where it points. Nobody knows how that actually works but ssshh.
BUY_BUCKET_DESC |= There are 2 types of bucket in Quill, as referenced in this old folk rhyme...\nOne two, bucket of poo,\nThree four, knock on the door,\nFive six, spread it with sticks\nSeven Eight, it pranks them just great.\nSorry, wrong rhyme. Just use tin buckets for liquids and wooden ones for poop. Get one from the shop in the village.
BUY_SEEDS_DESC |= Go to the market at Festival Green, south of the village or find a travelling trader and buy seeds. They come in packs of 4, like wolves, although wolves are extinct so there is no proof of that.
GET_SICKLE_DESC |= Sickles are used to cut crops, flowers and sometimes, heads off. Ok, just kidding on one of those...but which? Head to the Blacksmith in the village and talk to Jeremie by the forge. Unless he is at home in bed or something.
LEARN_TO_COOK_DESC |= Head to the far West to Candlewych Cottage and talk to Old Mother Hubbard. She writes all the recipes in Quill and can give you insights into how to make proper meals that won't wink at you or make you want to spend 3 hours redecorating the outhouse in a lovely shade of Ugh.
HARVEST_CARROTS_DESC |= Pick up 4 ripe carrots that are growing in the ground. Don't pick them up from somebody else's cooking pot, though, as you may burn your hand and get covered in stew, and I am not sure if Stewart would like that.
DRUIDA_FESTIVE_DESC |= On Goddess Day go to the Festival Green, South of Candlewych Village, and partake in the honouring of our beloved Druida, Goddess of the Orchards. Take apt Offerings and feel free to watch the dancing and even play an instrument. But DO NOT forget to make an Offering unless you want to wake up with a love for hopping and lilypads!
GODDESS_OFFERING_DESC |= Every villager gives offerings to the goddesses each week on Solsday (Goddess Day) or faces their wrath in curses and jinxes.
GODDESS_WORSHIP_DESC |= On Solsday, Days 7 and 14, your boons and curses reset, so you can make new offerings for the week ahead.
MEET_FAIRWEATHER_DESC |= Go and meet the mysterious Mr Fairweather and see what gifts he might be able to offer you. Head to Crumblechalk Mine, and don't forget your lantern!
TWIG_DESC |= Go and meet Twig in Dreamer's Nook.
MAPSTONE_DESC |= Find the Mapstones in this region. You should be able to recognise them by their mysterious swirly patterns. Just find them all and interact with them to triangulate your position and reveal the local map. It is a pity that not many people in Quill can spell triangulate or even know what it means!
FATHER_DESC |= Go and talk to your uncle on the farm.
OFFERING_DESC |= The Brounies are mischievous Fae sprites who love human food as much as they love playing pranks. With the right offering they might even help out! Use the large Offering Bowl outside your house and gift them an item. Do not forget to do so, though; they have a right old temper!
DAY4MILKNAME |= Deliver Milk to Mother Hubbard.
DAY4MILKDESC |= Go to Candlewych Cottage to the far west with some milk.
DAY6MILKNAME |= Deliver Milk to Pappy Cowe.
DAY6MILKDESC |= Pappy lives on Cowpat Farm, north of Candlewych Cottage. Pappy just loves milk!
DAY8MILKNAME |= Deliver Milk to Hazel Nutt.
DAY8MILKDESC |= In northern Cuckoo Woods you can find Hazel at the Cattery.
DAY9MILKNAME |= Deliver Milk to Worzel Scrumpy.
DAY9MILKDESC |= Head to Testy Acres and GIFT milk to Worzel.
