JournalInstructionsTitle |= Journal
JournalInstructions_PAD |= Ouvrir le Journal avec <calendar>.
JournalInstructions_KBM |= Ouvrir le Journal avec <calendar> ou en cliquant sur l'icône clignotante en bas à gauche.
MapInstructionsTitle |= Carte
MapInstructions_PAD |= Ouvrir la Carte avec <map>.
MapInstructions_KBM |= Ouvrir la Carte avec <map> ou en cliquant sur l'icône clignotante en bas à gauche.
InventoryInstructionsTitle |= Inventaire
InventoryInstructions_PAD |= Ouvrir l'Inventaire avec <inventory>.
InventoryInstructions_KBM |= Ouvrir l'Inventaire avec <inventory> ou en cliquant sur l'icône clignotante en bas à gauche.
SkillInstructionsTitle |= Compétences et Progrès du Joueur
SkillInstructions_PAD |= Ouvrir vos informations de Progrès et Compétences avec <progress>.
SkillInstructions_KBM |= Ouvrir vos informations de Progrès et Compétences avec <progress> ou en cliquant sur l'icône clignotante en bas à gauche.
Mapstone |= Mapstone
GoddessStatueInstructionsTitle |= Statue de la Déesse
GoddessStatueInstructions |= La Statue de la Déesse peut être utilisée les Jours 7 et 14 pour faire des offrandes à la Déesse pour des bénédictions (et des malédictions!).\nVous pouvez aussi choisir de vous téléporter pour 1 <item:Apple> vers n'importe quelle autre Statue de la Déesse que vous avez découvert.\nVous pouvez aussi vérifier quelles bénédictions et malédictions sont actives.
MovementInstructionsTitle |= Déplacements
MovementInstructions |= <up><left><down><right> pour bouger. <run> pour marcher. Vous pouvez modifier la "Vitesse par défaut" dans <pause> l'Ecran d'Options.
StatusInstructionsTitle |= Statut
StatusInstructions_PAD |= Parcourir le Statut pour voir les informations vous concernant et sur les villageois que vous rencontrez.Ouvrir les informations de Statut avec <NPCstatus>.
StatusInstructions_KBM |= Parcourir le Statut pour voir les informations vous concernant et sur les villageois que vous rencontrez.Ouvrir les informations de Statut avec <NPCstatus> ou en cliquant sur l'icône clignotante en bas à gauche.
ThattawayInstructions |= Avec une tache active enregistrée dans le Journal, appuyer sur <thatterway> pour obtenir la direction à prendre. Cela vous aidera à vous guider vers les zones où sont localisées vos objectifs.
DandelionInstructions |= Ramasser des pissenlits fera apparaitre une horloge dans le coin en haut à droite de l'écran (si vous n'en avez pas déjà une).\nLa graine la plus large pointe vers l'heure actuelle; ex: s'il pointe vers le bas il est 6h.\nUne horloge pissenlit dure 12 heures, donc vous aurez besoin d'en récolter d'autres.\nUne meilleure horloge pourrait être disponible par la suite, mais pour l'instant, la nature peut vous aider.
Uncle BillDay2 |= Bonjour! On aurait dit que tu faisais des rêves agités. Une bonne journée de travail est le meilleur soin pour cela.\nSi nous voulons être à l'heure pour Summertide, il faut que tout se passe bien à la ferme, donc j'ai besoin que tu ailles acheter un nouveau <item:Tin_Bucket> en ville.
Uncle BillDay2 |= Tiens, 3 Brass devrait suffir. J'ai débloquer les portes ouest et sud. Fais juste attention au vieux Herbert si tu vas à l'ouest. Il n'est pas beau à voir !\nOh, et vous avez une lettre qui attend dans la boîte aux lettres. C'est déjà plus de courrier que je n'en ai reçu toute l'année. Chaque fois que vous avez du courrier, vous verrez le chiffon rouge de la boîte aux lettres flotter.
Uncle BillDay2 |= Oh et voyez si un Thatterway vous aidera si vous vous perdez. Sélectionnez simplement Définir Thatterway sur une tâche pertinente, puis appuyez sur F1 ou cliquez sur le stick gauche et le Thatterway vous mènera à votre destination ! Ce sont des fées très mignonnes et pas timides du tout !
Uncle BillDay2Followup |= *tousse* En route pour le village alors ? Soyez amical avec les gens, et vous êtes sûr d'aller loin. Cela vaut peut-être la peine de les amadouer un peu pour qu'ils vous disent des choses qui peuvent être utiles. La connaissance est le pouvoir qu'ils disent! On dit aussi qu'avaler une grenouille guérit les maux de gorge, alors ne vous fiez pas à toutes les expressions. J'aurais peut-être dû choisir une grenouille plus petite. De toute façon bonne chance!
Uncle BillDay2FollowupBegone |= À ta façon! *chantant* Ma baratte à lait apporte tous les Hobs dans la cour...
Uncle BillDay3 |= Nous devons commencer à planter les graines. Vous pouvez acheter des graines au marché du Festival Green au sud du centre du village. Le marché est là tous les 3e et 10e jours d'une saison. Voici 4 Brass pour aller chercher des graines.
Uncle BillDay3Followup |= Après avoir ramassé les graines, n'hésitez pas à explorer pendant un moment. Le marché n'a lieu qu'une fois par semaine, c'est donc une bonne occasion d'essayer de vendre tout ce que vous avez rassemblé. Aussi, prenez ces 5 Brass ; il devrait y avoir un ou deux jeux auxquels vous pourrez jouer pendant que vous êtes là-bas.\nAssurez-vous simplement d'être à la maison avant qu'il ne fasse noir, car nous devrons planter ces graines.
Uncle BillDay2GotBucket |= Bien fait; vous pouvez utiliser ce seau à de nombreuses fins. Allez l'essayer. Cette chose stockera plus que de l'eau ordinaire.
Wanderer1Intro |= alut jeune. Je me repose juste ici pendant que madame prie. Puis nous repartons vers le nord. C'est un grand monde là-bas, Soleil. J'aurais aimé redevenir jeune, pour avoir la liberté de tout explorer.
Wanderer2Intro |= Vous avez interrompu mes bénédictions. Vous ne savez pas ce que c'est ? Ceci est une statue de la Déesse. Je devine à ton visage confus que tes parents ne t'ont pas encore laissé prier. Les statues sont également connues pour téléporter les gens autour du Haven, mais vous devez interagir avec toutes les statues pour les déverrouiller en tant que destinations.
TraderINTRO |= Salut jeune! Je suis commerçant ambulant. Je vends des graines et autres. J'adore répandre mes graines ! Je suis au village tous les 2e et 9e jours de la saison et à Druida's Cross tous les 1er et 8e jours. Assurez-vous de m'attraper pour profiter de mes offres!
TraderINTROSUMMERDOWN |= Salut jeune! Nous sommes-nous déjà rencontrés? Je suis commerçant ambulant. Je vends des graines et autres avec différents articles dans chaque refuge. Je peux être trouvé ici deux jours par semaine, ici laissez-moi vous donner l'info...
TraderINTROMELLOWFIELD |= Salut jeune! Nous sommes-nous déjà rencontrés? Je suis un commerçant ambulant avec quelques frères identiques. Je vends des graines et autres avec différents articles dans chaque refuge. Je peux être trouvé ici deux jours par semaine, ici laissez-moi ajouter cela à votre calendrier...
Uncle BillDay14 |= Allez, réveille-toi! Grand jour aujourd'hui !
Uncle BillDay14 |= Bravo à Vale, Summertide est là ! Soyez béni en ce grand jour.
Uncle BillDay14 |= Tous les 10 ans, nous nous rassemblons sur le Vert et faisons des offrandes à notre Druide adorée...
Uncle BillDay14 |= Viens! Il est temps de tenir notre rendez-vous avec le Woodfellow.
Q1 |= Maintenant, commençons cette audition,\nDites-moi enfant, quelle est votre ambition dans la vie.
Q2V1 |= Une entreprise, hein, ça vous vient à l'esprit?\nMais dites-moi, jeune, de quel genre?
Q2V2 |= Une famille, hein? Je ne le saurais pas.\nComment aimeriez-vous les voir grandir?
Q2V3 |= L'excitation vous chatouille l'imagination, je vois\nMaintenant, quel genre d'aventurier serez-vous?
Q2V4 |= Votre passion brûle comme un feu\nMaintenant, dites-moi ce que votre coeur désire!
Q3 |= Une légende que vous espérez grandir\nMais se rappeler pour? Je dois savoir!
QuestionsComplete |= Questions done now, very good!\nI can see why Fairweather likes yer blood.\nHe gives this gift so hold it tight\nAnd wait for his call one misty night!
Q1A1 |= Diriger une entreprise
Q1A2 |= Elever une famille
Q1A3 |= Aventure!
Q1A4 |= Suivre le Destin
Q2V1A1 |= Un joli mélange
Q2V1A2 |= Apothicaire
Q2V1A3 |= Magasin de marchandises
Q2V1A4 |= Forgeron
Q2V2A1 |= Beaucoup étudier
Q2V2A2 |= S'amuser
Q2V2A3 |= Pour gagner leur subsistance
Q2V2A4 |= Répandre la joie
Q2V3A1 |= Skilled Ranger
Q2V3A2 |= Seeker of Knowledge
Q2V3A3 |= Amoureux de la Nature
Q2V3A4 |= Chasseur de trésor
Q2V4A1 |= Argent!
Q2V4A2 |= Célébrité!
Q2V4A3 |= Liberté!
Q2V4A4 |= Amour!
Q3A1 |= Ma Générosité
Q3A2 |= Mes Compétences
Q3A3 |= Les choses que j'ai créées
Q3A4 |= Les actes que j'ai faits
Day1FWT0 |= Crains-tu les ombres, mon enfant ? Ou les sens-tu t'appeler ?
Day1FWT1 |= Vous devriez les tenir près de vous et écouter. Le Kynseed vous a choisi pour votre grandeur.
