GiftRequest_Stamina |= I'm going to be on my feet for most of today. I hope I have enough stamina to keep going.
GiftRequest_Stamina |= I am starting to run on empty. I could do with upping my stamina a bit.
GiftRequest_Stamina[P] |= The spirit is willing but the knees are weak!  I'll need plenty of stamina to get through kneeling in front of the statues for the whole of Goddess Day.
GiftRequest_Stamina[J] |= I laughed so much at a joke earlier I ran out of stamina.
GiftRequest_Stamina[B] |= I don't usually need more stamina, as my lungs are the size of a Buggane's, but even people like me sometimes need a boost.
GiftRequest_Stamina[Q] |= I often dream of having the stamina to reply to such questions.
GiftRequest_Stamina[C] |= A Quillian's work is never done! I just don't have enough stamina to get through the days.
GiftRequest_Stamina[C] |= When you're as busy as I am you need all the stamina you can get.
GiftRequest_Stamina[Kids] |= Got a list of chores longer than these hand-me-down pants!  Never going to have the stamina to get them done and win the Baa, Cluck, Oink league as well unless I get some help.

GiftRequest_Intelligence |= Reading books isn't enough. I need to experience life if I want to increase my intelligence.
GiftRequest_Intelligence |= Some days I don't feel so bright. I wish I had the brains to cope with all that life throws my way.
GiftRequest_Intelligence |= I'm trying to learn more about the world around us. If only I was intelligent I might be able to retain more of that knowledge.
GiftRequest_Intelligence[P] |= Got some lovely new books about the Goddesses today.  Am going to need plenty of intelligence to appreciate them properly.
GiftRequest_Intelligence[J] |= I'm off down to the Tavern Quiz soon. Going to need plenty of intelligence to enjoy my ale AND beat those pious buggers in Team Tea-Total!
GiftRequest_Intelligence[B] |= If you want to stay smart then you need to feed that intelligence fairy that lives in your head-bone. The proper term is skull, you know?
GiftRequest_Intelligence[Q] |= I am having one of those days where I can't even add up the fingers on my middle hand. Was there a Thick Fog I din't notice?
GiftRequest_Intelligence[C] |= Why does everything have to be so complicated these days?  Time was when bartering just meant swapping yer cabbage for a carrot.  Now its all spinning numbers around in yer head.  Takes more intelligence than I've got!
GiftRequest_Intelligence[Kids] |= Gettin' tested on my studyin' tomorra.  I can now read a hole line and even speak like I can't rite. I need to lurn quicker.

GiftRequest_Strength |= I want to increase my strength but i'm not sure what foods are the healthiest.
GiftRequest_Strength |= Goddesses give me strength!  What a day I'm having.
GiftRequest_Strength |= I need to keep my strength up if I want to achieve everything I set out to do today.
GiftRequest_Strength[P] |= My strength is as the strength of ten Hobs because my heart is pure! Or at least it will be if I can really please Hyalis this week...can you help?
GiftRequest_Strength[J] |= Well blow me down and call me a leaf! You could actually do that, due to my poor strength!
GiftRequest_Strength[B] |= I want to be the strongest in all Quill, or at least stronger, just to keep up my air of superiority.
GiftRequest_Strength[Q] |= They used to call me the muscles from brussels, because I had arms like sprouts. These days my arms are like pencils. I do need to work on my upper body strength.
GiftRequest_Strength[C] |= I hate my arms! Why do we have them? They are always never strong enough to pick heavy things up.
GiftRequest_Strength[Kids] |= When I become of age I want to be strong like The Wright!

GiftRequest_Barter |= I'm off to the market soon. I could do with brushing up on my bartering skills.
GiftRequest_Barter |= I keep getting a rubbish price for my tomatoes when bartering at the market.  Do you know of anything that would help me get better deals?  
GiftRequest_Barter[P] |= I want to barter for some really good produce to offer to the Goddesses this week.  Can you help me get a good deal?
GiftRequest_Barter[J] |= I would love to be like my old pal Marvin. He was a great haggler. He could get some knockout prices on boxes.
GiftRequest_Barter[J] |= All work and no play makes Jack a bad barterer.
GiftRequest_Barter[B] |= I could negotiate my way out of a Dragon's belly, but could always just up my Barter stat a bit.
GiftRequest_Barter[Q] |= I am feeling like I am going to get ripped off, so a boost to my bartering ability might be just the ticket, or voucher, to success.
GiftRequest_Barter[C] |= Stuff is so expensive nowadays. It takes an age to barter people down to a reasonable price.
GiftRequest_Barter[Kids] |= I only get enough chore's money for one-and-a-half Candy Squirrels. Do you think theres any way I can barter with old meanie in the shop to let me have more to add to my winter hoard?

GiftRequest_Charm |= It's nice to make a good first impression. I need to be a little more charming around new people.
GiftRequest_Charm |= Have you anything that can make me a charmer? I have an upcoming meeting and I want to be at my best.
GiftRequest_Charm[P] |= Sometimes, being so pious can make me seem cold. A boost to charm might be the medicine to cure this coldness.
GiftRequest_Charm[J] |= I know I am funny but I like to keep up that appearance. It's a lot of pressure, can you help boost my charm?
GiftRequest_Charm[B] |= Of course I've never needed a boost to my Charm as everyone always adores me on sight.  I mean look at you now, giving me a charming gift because I'm so fabulous.
GiftRequest_Charm[Q] |= I want to charm the hind legs off a donkey, even though they are extinct.
GiftRequest_Charm[C] |= Why do people talk behind my back? Am I not charming enough? 
GiftRequest_Charm[Kids] |= Adults always say manners maketh man. I would like to grow up just so I can taste beer, so I need some charm lessons.

GiftRequest_Accuracy |= When I was younger I could slingshot the shell off a snail at 50 paces. Now I am so inaccurate I can't even hit my front door from the welcome mat.
GiftRequest_Accuracy |= Let's keep this simple. I need to be more accurate.
GiftRequest_Accuracy[P] |= I was throwing fruit into an offering bowl and missed. How can I stop doing that?
GiftRequest_Accuracy[J] |= I would love to win a prize at that Vale marbles game! I am terrible at it!
GiftRequest_Accuracy[B] |= A true hunter like myself knows the benefits of good training. I should stay accurate and focused.
GiftRequest_Accuracy[Q] |= Is it accurate to say that if I can't hit a target, I am inaccurate?
GiftRequest_Accuracy[C] |= I really despise not being able to thread a needle. Why do they make the holes so small? I need better hand/eye coordination.
GiftRequest_Accuracy[Kids] |= Wish I was more accurate with a slingshot.  I could earn some decent chores money if I could hit the trees instead of the cat, the dog, passing chickens and the odd groundfish. 

GiftRequest_Clumsiness |= I need something that has clumsiness in it. Don't ask why.
GiftRequest_Clumsiness |= I am unable to drop anything. I wish I was clumsier!
GiftRequest_Clumsiness[P] |= The Goddesses might think I am too precise and careful. I need to make sure I am always lesser than them.
GiftRequest_Clumsiness[J] |= I am thinking that being clumsy would add so much to my comedy repertoire.
