SiblingReturnFromTomb |= You stood on the stone circle, and the door opened?! A tomb? Grandmasters? A mirror? Jabberwock!
SiblingReturnFromTomb |= I knew there was something evil in that forest. What will you do? Will you really try and become a legend and get that sword to kill it?
SiblingReturnFromTomb |= This is a lot to take in. Why you? We are twins. Surely our blood is the same?
SiblingReturnFromTomb |= It's that damned Fae, isn't it? What did it promise you?
SiblingReturnFromTomb |= Never mind that for now. I need to think. You better start your journey to becoming a legend, I suppose?! I'll do some research at my end and let you know if I discover anything else.
SiblingReturnFromTomb |= Please look after yourself and be careful. And stay away from that rabbit!
SiblingProgress1 |= Good to see you. I am glad you are progressing. I decided I needed to push myself too, so I am going to try to master something. I am not sure what I should try to do yet, though. What do you think? Master knitter? Master animal petter? Master of carrots? Maybe I could do that and give some to your rabbit friend. Rabbit, hare, whatever.
SiblingProgress1 |= Anyway, I must get on, and you should too. I am cooking 'Cabbage a-la-cart', and those monsters won't slay themselves, you know!
SiblingProgress2 |= Well done! It seems like you are making progress. Me? Oh, I am still working my way towards being a mastermind. Did you know I chose exploration as my specialised subject? I've started now so I'll finish!
SiblingProgress2 |= I do hope you solve that monster problem. Every night when I go to sleep, I can briefly feel a presence, but it goes if I light my candles. So I just leave them on all night now. Don't worry, I am safe here, and I am not going to let a hateful monster scare me away!
SiblingProgress3 |= I have some news for you. I went to The Circle and stood on the pad. Guess what happened? It opened! I got inside! It was very creepy in there. I stood by some pool, and three ghosts appeared and talked to me, just as they did to you.
SiblingProgress3 |= A mirror rose up out of the pool, and I could see myself in there, though I seemed a bit different - taller and stronger almost?
SiblingProgress3 |= They said I was worthy of becoming a Master of Exploration. I couldn't believe it! But then, there was a bright light, and I felt dizzy and like my nerves were burning! But a good burning!
SiblingProgress3 |= To cut a long story short, I am now a Master! 
SiblingProgress3 |= Thank you! Your kind words mean a lot. So yes, sibling, I will be around for a very long time! 
SiblingProgress3 |= If you want me to teach you any of my knowledge, I am bound to help you, but you must fulfil my requirements. I am happy to teach you anytime.
SiblingProgress3 |= Oh, I feel so powerful now! I must thank you for inspiring me to greater heights!
