Pickup_Kynseed |= Kynseed
Pickup_KynseedDesc |= Une graine merveilleuse et magique.
Pickup_FW_0 |= Horloge Mécanique
Pickup_FW_0_Description |= Il est temps de mettre à niveau les pissenlits avec cette montre mécanique.
Pickup_FW_1 |= Abreuvoir du Gourmand
Pickup_FW_1_Description |= Remplissez-le de nourriture pour nourrir automatiquement vos animaux avec cette élégante mangeoire.
Pickup_FW_2 |= Clé en Bois
Pickup_FW_2_Description |= Vous pouvez utiliser les voies secrètes des Fae avec cette merveilleuse clé mystique.
Pickup_FW_3 |= Home Sweet Home
Pickup_FW_3_Description |= Il n'y a pas d'endroit comme à la maison. Surtout si vous pouvez vous y téléporter.
Pickup_FW_4 |= 2 Forget-Me-Yet Seeds
Pickup_FW_4_Description |= Cultivez une fleur merveilleuse qui, une fois donnée, réinitialisera une opinion de vous, bonne ou mauvaise !
Pickup_FW_5 |= Miroir Miroir
Pickup_FW_5_Description |= Utilisez quotidiennement ce merveilleux miroir pour augmenter votre virilité.
Pickup_FW_6 |= Rappel de Waterman
Pickup_FW_6_Description |= Vous avez du courrier? Vous oubliez des événements? Cet excellent article est ce dont vous avez besoin!
Pickup_FW_7 |= Vase du Pardon
Pickup_FW_7_Description |= Votre conjoint ne vous détestera jamais avec ce magnifique vase sur votre table.
Pickup_FW_8 |= Charme charmeur de Judith
Pickup_FW_8_Description |= Réduisez l'impact du mauvais amour avec ce charme charmant.
Pickup_FW_9 |= Turdis
Pickup_FW_9_Description |= Voyagez instantanément à travers la plomberie de Haven avec ces toilettes extérieures spéciales. Bouchez-vous le nez.
Pickup_FW_10 |= Terrarium
Pickup_FW_10_Description |= Commodité lors de vos déplacements avec ce jardin portable.
Pickup_FW_11 |= Calmonique
Pickup_FW_11_Description |= Météo trop agitée? Calmez-la avec cet instrument paisible.
Pickup_FW_12 |= Corne de Brume
Pickup_FW_12_Description |= Sois Brumeux pour moi. Appuie sur ce curieux klaxon pour le rendre brumeux.
Pickup_FW_13 |= Boule à Neige
Pickup_FW_13_Description |= Quelle atmos sphère ! Créez de la neige avec cette charmante boule à neige.
Pickup_FW_14 |= Anneau de Wuther
Pickup_FW_14_Description |= Rendez le temps venteux avec cette bague ornée.
Pickup_FW_15 |= Hiya's Synthetic Bucket
Pickup_FW_15_Description |= Keep up appearances with this bucket that holds 4x the amount of fragrant fertiliser.
Pickup_FW_16 |= Professor Bugpass
Pickup_FW_16_Description |= A beautifully carved wooden owl sits in your inventory and increases family study XP gain.
Pickup_FW_17 |= Inspecting Gadget
Pickup_FW_17_Description |= Show this strange device items to identify their traits.
Pickup_FW_18 |= Seed Replicatron
Pickup_FW_18_Description |= Feed this clever machine rotten apples to produce random seeds.
Pickup_FW_19 |= Waste-Not
Pickup_FW_19_Description |= Yum Yum. Double the yield when crafting any cooked food. 
Pickup_FW_20 |= Divine Diviner
Pickup_FW_20_Description |= Find digspots by carrying a shovel. You will receive a ping as you get closer!
Pickup_FW_21 |= Machine Tool
Pickup_FW_21_Description |= Industry at work. Doubles the yield when crafting at the blacksmith.
Pickup_FW_22 |= Chemistry Set
Pickup_FW_22_Description |= Test those tubes! Doubles the yield when crafting at the apothecary.
Pickup_1 |= Pomme
Pickup_Description_1 |= An apple a day keeps the doctor away. Just throw them at him.
Pickup_2 |= Gassy Apple
Pickup_Description_2 |= Quite expensive due to inflation.
Pickup_3 |= Cotelette de porc
Pickup_Description_3 |= This little piggy went to market in many tasty pieces.
Pickup_4 |= Carotte
Pickup_Description_4 |= Great for helping you see in the dark...by setting them on fire.
Pickup_5 |= Chou
Pickup_Description_5 |= Exotic, exciting, succulent. Three words that you can't use to describe cabbage.
Pickup_6 |= Lait
Pickup_Description_6 |= Full of vitamins and iron. Are these cows metal?
Pickup_7 |= Eau
Pickup_Description_7 |= It's pretty clear what this is...
Pickup_8 |= Fraise
Pickup_Description_8 |= Forever in fields full of beetles.
Pickup_9 |= Myrtille
Pickup_Description_9 |= It's just their colour. They are not sad.
Pickup_10 |= Nightberry
Pickup_Description_10 |= Only sprouts at night, amazingly.
Pickup_11 |= Graine de Blé
Pickup_Description_11 |= Insert corny joke here...
Pickup_12 |= Graine de Carotte
Pickup_Description_12 |= Stick not included.
Pickup_13 |= Graine de Chou
Pickup_Description_13 |= Not a patch on owning a doll.
Pickup_14 |= Blé
Pickup_Description_14 |= Do not put down your pants. It chaffs.
Pickup_20 |= Champignon
Pickup_Description_20 |= Je suis un gars amusant.
Pickup_21 |= Champignon arc-en-ciel
Pickup_Description_21 |= Ever wanted to touch the sky with candy arms while mice polish your dancing teeth? No, neither have I.
Pickup_22 |= Os
Pickup_Description_22 |= A dog lollipop.
Pickup_23 |= Lanterne
Pickup_Description_23 |= A light in dark places.
Pickup_26 |= Arrosoir
Pickup_Description_26 |= Basically, a shower, for plants and flowers.
Pickup_27 |= Luth
Pickup_Description_27 |= Not found in crates.
Pickup_28 |= Lance-pierre
Pickup_Description_28 |= The weapon of choice for menaces everywhere.
Pickup_29 |= Canne à peche
Pickup_Description_29 |= Reely good at catching fish.
Pickup_30 |= Balle
Pickup_Description_30 |= Sphere of influence.
Pickup_31 |= Glass Jar
Pickup_Description_31 |= Don't leave it by the door...
Pickup_34 |= Pondlurker
Pickup_Description_34 |= Drawn to scale.
Pickup_35 |= Rainfish
Pickup_Description_35 |= Catch them with precipitation.
Pickup_36 |= Sleepers Zest
Pickup_Description_36 |= Nightberry, Fraise, Myrtille
Pickup_37 |= Soup Ollard
Pickup_Description_37 |= Chicken Drumstick, Rainbow Mushroom, Catnip
Pickup_38 |= Mother's Milk Pudding
Pickup_Description_38 |= Chamomile, Eldersberry, Milk Moss
Pickup_39 |= Candlewych Green
Pickup_Description_39 |= Rainfish, Tomate, Chou
Pickup_40 |= Bacon Surprise
Pickup_Description_40 |= Groseille, Champignon, Tomate
Pickup_41 |= Edward's Munch
Pickup_Description_41 |= Pork Chop, Menthe, Tomate
Pickup_42 |= Simpleton's Stew
Pickup_Description_42 |= Tomate, Chou, Basilic
Pickup_43 |= Everyman's Salad
Pickup_Description_43 |= Carrot, Tomate, Pear
Pickup_44 |= Arrest Stew
Pickup_Description_44 |= Chou, Carrot, Offal Tench
Pickup_46 |= Sleepers Zest
Pickup_Description_46 |= Sleep is not an option with this concoction.
Pickup_47 |= Soup Ollard
Pickup_Description_47 |= Nothing better for making you feel high-de-high.
Pickup_48 |= Mother's Milk Pudding
Pickup_Description_48 |= You would have to be Mad or called Max to not like this.
Pickup_49 |= Candlewych Green
Pickup_Description_49 |= Much healthier than Soylent.
Pickup_50 |= Bacon Surprise
Pickup_Description_50 |= The surprise is there is no bacon in it.
Pickup_51 |= Edward's Munch
Pickup_Description_51 |= An alternative to ice cream.
Pickup_52 |= Simpleton's Stew
Pickup_Description_52 |= Loved by village idiots and hungry people.
Pickup_53 |= Everyman's Salad
Pickup_Description_53 |= The envy of ploughmen everywhere.
Pickup_54 |= Arrest Stew
Pickup_Description_54 |= Eating this should be law.
Pickup_55 |= The Brothy Grimm
Pickup_Description_55 |= Folk tell tales of its disgusting taste.
Pickup_56 |= Bluefish Use
Pickup_Description_56 |= Want to keep your store staff good?\n Pop some Bluefish in their food.
Pickup_57 |= Eel Use
Pickup_Description_57 |= Eels are slick and very sleek,\n But eating them may make you weak.
Pickup_58 |= Pike location 1
Pickup_Description_58 |= The common Pike is such a thrill,\n Caught in rivers all over Quill.
Pickup_59 |= Pike location 2
Pickup_Description_59 |= Sun rises or sun sets,\n To catch the Pike within your nets.
Pickup_60 |= Pike Use
Pickup_Description_60 |= Pike meat tastes great in a pie,\n And gives you a very measured eye.
Pickup_61 |= Pondlurker location 1
Pickup_Description_61 |= In the ponds of the Vale,\n Pondlurker flashes its floppy tail.
Pickup_63 |= Bluefish location 1
Pickup_Description_63 |= Bluefish always know their place,\n In Mellowfields ponds they show their face.
Pickup_64 |= Whistleroot
Pickup_Description_64 |= Night stalker.
Pickup_68 |= Miel
Pickup_Description_68 |= Won't give you the hives.
Pickup_69 |= Tomate
Pickup_Description_69 |= You say tomato, I say tomato. Same thing when written down.
Pickup_72 |= Pondlurker location 2
Pickup_Description_72 |= Pondlurker prefer the sun,\n Lurking in light is much more fun.
Pickup_73 |= Bluefish location 2
Pickup_Description_73 |= The Bluefish is a curious thing,\n You never see them during Spring.
Pickup_74 |= Orb
Pickup_Description_74 |= An Eldritch Marble.
Pickup_75 |= Rainstick
Pickup_Description_75 |= Shake it to make it.
Pickup_76 |= Magic Bean
Pickup_Description_76 |= Can take you to heights undreamed of.
Pickup_77 |= Barbel location 1
Pickup_Description_77 |= Barbel weighs quite a lot,\n So in deep rivers can be got.
Pickup_78 |= Barbel location 2
Pickup_Description_78 |= After the sun has gone to bed,\n Barbels appear to be fed.
Pickup_79 |= Barbel Use
Pickup_Description_79 |= Barbel makes your brain go fart,\n But makes you brave with a strong heart.
Pickup_80 |= Rainfish location 1
Pickup_Description_80 |= Rainfish are always fond,\n Of lazily sleeping in any old pond.
Pickup_81 |= Eel location 1
Pickup_Description_81 |= Eels are long and seem to quiver,\n See them play in any river.
Pickup_82 |= Pondlurker Use
Pickup_Description_82 |= Pondlurker gives a tiny burst,\n To stamina, but it's the worst.
Pickup_85 |= Bluefish
Pickup_Description_85 |= They are orange to fool predators and fish namers.
Pickup_87 |= Firefish
Pickup_Description_87 |= How can this possibly exist?
Pickup_88 |= Flagfish
Pickup_Description_88 |= Don't wave at them.
Pickup_90 |= Cursefish
Pickup_Description_90 |= I swear I caught one...
Pickup_91 |= Moonfish
Pickup_Description_91 |= Full of themselves.
Pickup_92 |= Minnow
Pickup_Description_92 |= Teeny tiny guys!
Pickup_95 |= The Incredible Shrinking Flan
Pickup_Description_95 |= Little Sap, Basilic, Thyme
Pickup_96 |= Little Sap
Pickup_Description_96 |= Quite a transformation.
Pickup_97 |= Eel location 2
Pickup_Description_97 |= Eels are slippery souls to catch,\n But at night they meet their match.
Pickup_98 |= The Incredible Shrinking Flan
Pickup_Description_98 |= You should see a shrink.
Pickup_179 |= Sickle Mould
Pickup_Description_179 |= A mould used for blacksmithing.
Pickup_245 |= Faucille en Etain
Pickup_Description_245 |= Used by cereal killers.
Pickup_302 |= Pissenlit
Pickup_Description_302 |= Tell the time.
Pickup_303 |= Tin Bucket
Pickup_Description_303 |= For carrying liquids...the drinkable variety.
Pickup_304 |= Wooden Bucket
Pickup_Description_304 |= Never drink from this...
Pickup_307 |= Druida Effigy
Pickup_Description_307 |= A hail of fruit upon thy foes.
Pickup_308 |= Binding Band
Pickup_Description_308 |= Unites 2 lovers forever...or until you take it off at least.
Pickup_309 |= Candy Squirrel
Pickup_Description_309 |= Contains actual squirrel. May also contain nuts.
Pickup_310 |= Candy Hare
Pickup_Description_310 |= Sugared treat that may contain an actual hair.
Pickup_311 |= Rose of Romance
Pickup_Description_311 |= Love blossoms when you hand this to your dearest...just watch out for pricks.
Pickup_312 |= Go Easy Potion
Pickup_Description_312 |= Takes guts.
Pickup_314 |= Pep Powder
Pickup_Description_314 |= Puts a step in your spring.
Pickup_322 |= Pioche
Pickup_Description_322 |= Uncovers precious ore within rocks. Do not use on your nose.
Pickup_324 |= Cuckoo Dew
Pickup_Description_324 |= The problem with inventing flowers is a lack of reference for puns.
Pickup_325 |= Poire
Pickup_Description_325 |= Just the one.
Pickup_326 |= Farine
Pickup_Description_326 |= Doh!
Pickup_327 |= River Trout
