PlayerFamilyGifted_Spouse_LIKE |= Oh! Quelle belle surprise!
PlayerFamilyGifted_Spouse_LIKE |= Tu t'es rappelé que j'aimais ca! Merci!
PlayerFamilyGifted_Spouse_LIKE |= Quelle charmante moitié tu fais!
PlayerFamilyGifted_Spouse_LIKE |= Oh mon dieu! Tu fais battre mon coeur avec ces cadeaux!
PlayerFamilyGifted_Spouse_LIKE |= Mon préféré! Mais tu le savais déjà, mon amour.
PlayerFamilyGifted_Spouse_LIKE |= Je les aime beaucoup! Tu es une merveille absolue.
PlayerFamilyGifted_Spouse_LIKE |= Mon préféré! Merci beaucoup!
PlayerFamilyGifted_Spouse_DISLIKE |= Tu n'aurais pas du! Sérieusement. Tu n'aurais pas du.
PlayerFamilyGifted_Spouse_DISLIKE |= Essaies-tu de me faire te détester?
PlayerFamilyGifted_Spouse_DISLIKE |= Pourquoi donnerais-tu à ton amour quelque chose comme ça?!
PlayerFamilyGifted_Spouse_DISLIKE |= Je sais que tu les détestes!
PlayerFamilyGifted_Spouse_DISLIKE |= Je suis sans voix.
PlayerFamilyGifted_Spouse_DISLIKE |= Essaies-tu de me remonter le moral?
PlayerFamilyGifted_Spouse_DISLIKE |= C'est une blague?
PlayerFamilyGifted_Spouse_DISLIKE |= Ugh! Je déteste ca! Pourquoi me donnes-tu ca?
PlayerFamilyGifted_Spouse_UNKNOWN |= Pour moi? Quelle moitié prévenante tu es.
PlayerFamilyGifted_Spouse_UNKNOWN |= Oh, tu n'aurais pas du, mon amour.
PlayerFamilyGifted_Spouse_UNKNOWN |= Oh, tu es une si gentille personne.
PlayerFamilyGifted_Spouse_UNKNOWN |= Merci mon amour.
PlayerFamilyGifted_Spouse_UNKNOWN |= J'aime ta prévenance.
PlayerFamilyGifted_Spouse_UNKNOWN |= J'apprécie ce geste romantique.
PlayerFamilyGifted_Spouse_UNKNOWN |= Merci mon amour.
PlayerFamilyGifted_Spouse_Birthday |= Tu t'es rappelé mon anniversaire! Je t'aime!
PlayerFamilyGifted_Spouse_Birthday |= Un cadeau spécial pour un jour spécial! Tu es un amour!
PlayerFamilyGifted_Spouse_Birthday |= Pour moi? Oh c'est parfait!
PlayerFamilyGifted_Spouse_Birthday |= Tu t'en es rappelé! Que la Déesse te bénisse, mon amour.
PlayerFamilyGifted_Spouse_Birthday |= Pendant une minute, j'ai cru que tu avais oublié, mais ca change tout.
PlayerFamilyGifted_Spouse_Birthday |= Oh! Génial! Je t'aime tellement!

PlayerFamilyGifted_AdultKid_LIKE |= Oh joli! Tu es vraiment un bon parent. Je suis très fière de toi.
PlayerFamilyGifted_AdultKid_LIKE |= Pour moi? Tu me connais vraiment bien!
PlayerFamilyGifted_AdultKid_LIKE |= Mon Item Préféré! Tu as vérifié avant de me faire un cadeau!
PlayerFamilyGifted_AdultKid_LIKE |= J'aime beaucoup! Santé.
PlayerFamilyGifted_AdultKid_LIKE |= Merci beaucoup! C'est super!
PlayerFamilyGifted_AdultKid_DISLIKE |= C'est quoi ca?
PlayerFamilyGifted_AdultKid_DISLIKE |= .............
PlayerFamilyGifted_AdultKid_DISLIKE |= Super parent. Ou pas.
PlayerFamilyGifted_AdultKid_DISLIKE |= J'ai toujours pensé que tu étais un tas de fumier, secrètement.
PlayerFamilyGifted_AdultKid_DISLIKE |= Ha. Ha. Ha. Très drole.
PlayerFamilyGifted_AdultKid_UNKNOWN |= Santé.
PlayerFamilyGifted_AdultKid_UNKNOWN |= Merci, parent.
PlayerFamilyGifted_AdultKid_UNKNOWN |= J'en avais besoin. Merci.
PlayerFamilyGifted_AdultKid_UNKNOWN |= Très attentionné.
PlayerFamilyGifted_AdultKid_UNKNOWN |= Merci. Je t'aime.
PlayerFamilyGifted_AdultKid_Birthday |= Oh joli!
PlayerFamilyGifted_AdultKid_Birthday |= Tu t'es rappelé mon grand jour. Je t'aime.
PlayerFamilyGifted_AdultKid_Birthday |= Je pourrais pleurer maintenant.
PlayerFamilyGifted_AdultKid_Birthday |= Tu es une superstar.
PlayerFamilyGifted_AdultKid_Birthday |= J'avais oublié que c'était mon anniversaire!

PlayerFamilyGifted_Child_LIKE |= Merci beaucoup, super parent!
PlayerFamilyGifted_Child_LIKE |= J'adore! Merciiiii!
PlayerFamilyGifted_Child_LIKE |= Yay!
PlayerFamilyGifted_Child_LIKE |= Ooh! Donne! Donne!
PlayerFamilyGifted_Child_LIKE |= Wow!
PlayerFamilyGifted_Child_DISLIKE |= Uuuugghhh!
PlayerFamilyGifted_Child_DISLIKE |= Yuck!
PlayerFamilyGifted_Child_DISLIKE |= Je n'aime pas ca.
PlayerFamilyGifted_Child_DISLIKE |= Ce n'est pas très gentil.
PlayerFamilyGifted_Child_DISLIKE |= Pourquoi t'embeter?
PlayerFamilyGifted_Child_UNKNOWN |= Merci. Je t'aime.
PlayerFamilyGifted_Child_UNKNOWN |= Oh pour moi? C'est gentil.
PlayerFamilyGifted_Child_UNKNOWN |= Bien!
PlayerFamilyGifted_Child_UNKNOWN |= Awww merci!
PlayerFamilyGifted_Child_UNKNOWN |= Ooooh!
PlayerFamilyGifted_Child_Birthday |= Woooooooowww! Cadeau d'anniversaire!
PlayerFamilyGifted_Child_Birthday |= HOURRA!!
PlayerFamilyGifted_Child_Birthday |= Mercimercimerci!
PlayerFamilyGifted_Child_Birthday |= Weeeeeeeee! Super cadeau, mais je dois faire pipi.
PlayerFamilyGifted_Child_Birthday |= Joyeux anniversaire à moi!
