FEED_PIGS_TITLE |= Nourrir {0} cochon
FEED_PIG_TITLE |= Nourrir le cochon
UNCLE_BIRTHDAY_TITLE |= Présent pour Oncle Bill
FEED_CAT_TITLE |= Nourrir le chat
FEED_CAT_DESC |= Nourrissez votre chat.
FEED_DOG_TITLE |= Nourrir le chien
FEED_DOG_DESC |= Nourrissez votre chien.
FILL_TROUGH_TITLE |= Remplir le bac à eau
PLANT_N_HARVEST_TITLE |= Planter et cuiellir {0} graines
WATER_CROPS_TITLE |= Arroser une récolte en pleine croissance
WATER_CROPS_DESC |= Utiliser un arrosoir pour arroser une récolte en pleine croissance.
COLLECT_HONEY_TITLE |= Récolter le Miel
COLLECT_HONEY_DESC |= Rassembler du miel des ruches en utilisant un récipient.
FIND_BONE_TITLE |= Trouver un os pour le chien
HARVEST_CABBAGES_TITLE |= Cueillir {0} Choux
MAKE_RECIPE_TITLE |= Cuisiner une recette
MAKE_RECIPE_DESC |= Rassembler des ingrédients et préparer n'importe quelle recette à la cuisinière.
PICK_DANDELION_TITLE |= Ramasser un pissenlit
BUY_BUCKET_TITLE |= Acheter un seau en étain
KEY_FOR_WEST_GATE_TITLE |= Récupérer la clé de Truffles
KEY_FOR_WEST_GATE_DESC |= Obtenez la clé de Truffles d'une manière ou d'une autre.
BUY_SEEDS_TITLE |= Acheter des graines au Marché
GET_SICKLE_TITLE |= Obtenez une Faucille du forgeron
LEARN_TO_COOK_TITLE |= Apprendre à cuisiner
HARVEST_CARROTS_TITLE |= Cueillir {0} Carottes
DRUIDA_FESTIVE_TITLE |= Assister aux festivités de la Journée de Druida
MEET_FAIRWEATHER_TITLE |= Rencontrer Fairweather
GODDESS_OFFERING_TITLE |= Donner une offrande à la Déesse
GODDESS_WORSHIP_TITLE |= Attribuez votre faveur de Déesse
OFFERING_TITLE |= Offrer un Brownie en offrande
MEET_CHARACTER_TITLE |= Rencontrer {0}
MAPSTONE_TITLE |= Débloquer la carte de {0}
PLANT_KYNSEED_TITLE |= Planter le Kynseed
PLANT_KYNSEED_DESC |= Rendez-vous à l'endroit étincelant à l'ouest de votre maison, sur la colline surplombant l'étang.\nInteragissez avec l'endroit pour planter le Kynseed.\nSi vous ne parvenez pas à le planter et mourez, la partie est terminée.
FEED_PIGS_DESC |= Nos amis porcins n'aiment rien de mieux que la nourriture. Sauf la boue. Nourriture et boue. Et dormir. Nourriture, boue et dormir. Et être chevauché. D'accord, ils aiment beaucoup de choses, mais ils ne vous aimeront que si vous les nourrissez. Jetez quelque chose dans leur enclos ou interagissez et choisissez l'option d'alimentation.
UNCLE_BIRTHDAY_DESC |= Votre oncle est après un cadeau pour son anniversaire aujourd'hui.
FILL_TROUGH_DESC |= À ne pas confondre avec Phil the Trough, un fermier de Poppyhill qui avait un corps long et ne buvait que de l'eau. Procurez-vous simplement un seau en étain et utilisez-le sur une source d'eau douce (enfin, nous ne pouvons vous donner aucun indice). Tenez ensuite le seau et versez-le dans l'abreuvoir. Facile.
PLANT_N_HARVEST_DESC |= La première étape. Acheter des graines. Deuxième étape. Aller dans une parcelle de sol rayée et interagir. Troisième étape. Choisir la graine que vous souhaitez planter. Quatrième étape. Arroser la graine tous les jours. Cinquième étape. Cueillir à maturité. Sixième étape. Il n'y a pas de sixième étape. Septième étape. Ou sept.
FIND_BONE_DESC |= Obtenir une pelle et demander à votre chien de vous Suivre. Faire attention au double WOUAF et creuser là où vous voyez la petite bosse de terre que votre chien a utilement marquée. Qui sait quel prix vous pourriez trouver caché dessous ! (même nous ne savons pas!)
HARVEST_CABBAGES_DESC |= Ramasser 4 choux mûrs. C'est aussi simple que 1, 2, 3... euh 4. On dit que les choux sont le légume qui maintient le monde ensemble, bien que d'autres personnes pensent que c'est la magie des Fae et que certains idiots pensent que le monde est rond ! C'est en 2D, pour l'amour de Freyl !
CURE_ILLNESS_DESC |= Oncle Bill est atteint par Les Verts. Trouvez-lui un remède, soit naturel, soit acheté à prix d'or chez un apothicaire ou autre.
PICK_DANDELION_DESC |= Les pissenlits sont les horloges de Quill. Trouvez ces petits gars pelucheux partout dans le pays et choisissez-en un. Vous remarquerez qu'une horloge apparaît. Regardez simplement la plus grande graine pour voir où elle pointe. Personne ne sait comment cela fonctionne réellement, mais shuuut.
BUY_BUCKET_DESC |= There are 2 types of bucket in Quill, as referenced in this old folk rhyme...\nOne two, bucket of poo,\nThree four, knock on the door,\nFive six, spread it with sticks\nSeven Eight, it pranks them just great.\nSorry, wrong rhyme. Just use tin buckets for liquids and wooden ones for poop. Get one from the shop in the village.
BUY_SEEDS_DESC |= Allez au marché de Festival Green, au sud du village ou trouvez un marchand ambulant et achetez des graines. Ils viennent en groupe de 4, comme les loups, bien que les loups soient éteints donc il n'y a aucune preuve de cela.
GET_SICKLE_DESC |= Les Faucilles sont utilisées pour couper les récoltes, les fleurs et parfois les têtes. Ok, je plaisante sur l'un d'entre eux... mais lequel ? Dirigez-vous vers le Forgeron dans le village et parlez à Jérémie près de la forge. Sauf s'il est chez lui au lit ou quelque chose comme ça.
LEARN_TO_COOK_DESC |= Dirigez-vous vers l'Extrême Ouest jusqu'à Candlewych Cottage et parlez à Old Mother Hubbard. Elle écrit toutes les recettes à Quill et peut vous donner un aperçu de la façon de préparer de bons repas qui ne vous feront pas de clin d'oeil ou qui ne vous donneront pas envie de passer 3 heures à redécorer les toilettes extérieures dans une belle teinte de Ugh.
HARVEST_CARROTS_DESC |= Ramassez 4 carottes mûres qui poussent dans le sol. Ne les ramassez pas dans la marmite de quelqu'un d'autre, car vous pourriez vous brûler la main et être couvert de ragoût, et je ne sais pas si Stewart apprécierait.
DRUIDA_FESTIVE_DESC |= Le jour de la Déesse, rendez-vous au Festival Green, au sud du village de Candlewych, et prenez part aux festivités en l'honneur de notre bien-aimée Druida, Déesse des Vergers. Prenez des Offrandes appropriées et n'hésitez pas à regarder la danse et même à jouer d'un instrument. Mais N'OUBLIEZ PAS de faire une offrande à moins que vous ne vouliez vous réveiller avec un amour pour le houblon et les nénuphars!
GODDESS_OFFERING_DESC |= Chaque villageois fait des offrandes aux déesses chaque semaine le Solsday (jour de la Déesse) ou fait face à leur courroux au travers de malédictions et de mauvais oeil.
GODDESS_WORSHIP_DESC |= Le Solsday, jours 7 et 14, vos avantages et malédictions se réinitialisent, vous pouvez donc faire de nouvelles offrandes pour la semaine à venir.
MEET_FAIRWEATHER_DESC |= Partez à la rencontre du mystérieux Mr Fairweather et voyez quels cadeaux il pourrait vous offrir. Dirigez-vous vers la mine Crumblechalk et n'oubliez pas votre lanterne!
TWIG_DESC |= Allez rencontrer Twig à Dreamer's Nook.
MAPSTONE_DESC |= Trouvez les Mapstones dans cette région. Vous devriez pouvoir les reconnaître à leurs mystérieux motifs tourbillonnants. Trouvez-les toutes et interagissez avec elles pour trianguler votre position et révéler la carte locale. Il est dommage que peu de gens à Quill puissent activer la triangulation ou même savoir ce que cela signifie!
FATHER_DESC |= Allez parler à votre oncle à la ferme.
OFFERING_DESC |= Les Brownies sont des esprits féeriques espiègles qui aiment la nourriture humaine autant qu'ils aiment faire des farces. Avec la bonne offrande, ils pourraient même vous aider! Utilisez le grand bol à offrandes à l'extérieur de votre maison et offrez-leur un objet. N'oubliez pas de le faire, cependant; ils ont un bon vieux tempérament!
DAY4MILKNAME |= Livrer du Lait à Mother Hubbard.
DAY4MILKDESC |= Allez à Candlewych Cottage à l'extrême ouest avec du lait.
DAY6MILKNAME |= Livrez du Lait à Pappy Cowe.
DAY6MILKDESC |= Pappy vit à Cowpat Farm, au nord de Candlewych Cottage. Pappy adore le lait !
DAY8MILKNAME |= Livrez du Lait à Hazel Nutt.
DAY8MILKDESC |= Dans le nord de Cuckoo Woods, vous pouvez trouver Hazel à la Chatterie.
DAY9MILKNAME |= Livrez du Lait à Worzel Scrumpy.
DAY9MILKDESC |= Dirigez-vous vers Testy Acres et OFFREZ du lait à Worzel.
DAY10HONEYNAME |= Livrez du Miel à Jacob Crackle.
DAY10HONEYDESC |=  Le vieux Jacob se trouve à Burial Grounds.
READ_NOTICEBOARD_DESC |= Lire le panneau d'affichage dans le village.
CREATE_CUSTOM_TASK_DESC |= Créez une tâche personnalisée pour vous-même à partir de votre calendrier ! Rendez-vous en haut de la liste pour trouver une option "Ajouter une tâche" qui vous guide tout au long du processus.
DAY_9_LUCY_TITLE |= Rencontrez Lucy au Cromlech de la Porte Nord après 18h
DAY_9_LUCY_DESC |= Rencontrez Lucy après 18h à la Porte Nord près du Cromlech.
DAY_13_SIBLING_TITLE |= Meet Sibling at North Gate
DAY_13_SIBLING_DESC |= Your sibling left a note to come to North Gate. They didn't say why...
JogonMeleeTaskTitle |= Apprendre à combattre
JogonMeleeIntro1 |= Speak To Jogon in Rivermoor
JogonMeleeIntro1Desc |= Jogon is the Master of combat. Find him at the entrance to Simplewood, at the very top of Rivermoor. You may need a translator.
JogonMeleeIntro2 |= Obtenir une épée
JogonMeleeIntro2Desc |= Go to Poppyhill Blacksmiths and either buy a sword or craft one, then return to Jogon for more instructions. If you don't know where Poppyhill is, set this task as Active and press F1 or click in the left stick and the Thatterway will guide you.
JogonMeleeIntro3 |= Find Jogon in the Barrow
JogonMeleeIntro3Desc |= Jogon awaits you in the burial hill in Rivermoor, just west of the Simplewood entrance. There you will be taught the ways of combat and learn a new Skill! It's spooky-looking...you can't miss it!
MoonRangedTaskTitle |= Learning Ranged Combat
MoonRangedIntro1 |= Trouvez Moon l'archer
MoonRangedIntro1Desc |= Moon est le maître des compétences à distance. Moon vous attend à Drownhill, au nord de Naida's Glory.
MoonRangedIntro2 |= Hit the pond target
MoonRangedIntro2Desc |= Use your slingshot and hit the target on the pond just in the southeastern corner of Drownhill.
MoonRangedIntro3 |= Retourner voir Moon
MoonRangedIntro3Desc |= Retourner voir Moon pour votre récompense.
MoonRangedIntro4 |= Rencontrer Moon dans la brouette
MoonRangedIntro4Desc |= Moon awaits to teach you about the bow in the barrow to the west of her camp in Drownhill. Tuck your shirt in and try to at least look presentable. 
CureIllnessTaskTitle |= Guérir Oncle Bill
CureIllness1 |= Parler à Lemmy chez l'apothicaire
CureIllness1Desc |= Uncle Bill is ill, so speak to Lemmy Sipp in the village apothecary.
CureIllness2 |= Gather ingredients and return to Lemmy\nCuckoo Dew\nBloodfew
CureIllness2Desc |= Find and gather 1 x Cuckoo Dew and 1 x Bloodfew, then return and speak to Lemmy at the apothecary.
ReturnSiblingTaskTitle |= Visit your Sibling to update them
ReturnSiblingDesc |= Go to Stonecrown to talk to your sibling.
ReturnGrandmastersTaskTitle |= Go to the Grandmasters
ReturnGrandmastersDesc |= Go to the Grandmaster's in the tomb in The Circle to claim your reward.
ForgeVorpalTaskTitle |= Forge the Vorpal Sword
ForgeVorpalDesc |= Use a Smithy forge to craft a Vorpal Sword from Abysstone Ore.
FindJabberTaskTitle |= Find the Jabberwock
