PIG_RACING |= Pig Racing
PIG_AUCTION |= Pig Auction
GOODS_MARKET |= Goods Market
TRAVELLING_TRADER |= Travelling Trader
DRUIDA_DAY |= Druida Day
SHEEP_RACING |= Sheep Racing
SHEEP_AUCTION |= Sheep Auction
CHICKEN_RACING |= Chicken Racing
CHICKEN_AUCTION |= Chicken Auction
BadTokenTitle |= Found Rotten Nut
BadTokenDescription |= You had a bad seed in your family. Try to keep your children happy.
StaminaTokenTitle |= Found Stamina Nut
StaminaTokenDescription |= This increases your stamina orbs in combat by 1.

UI_Settings_PlayerOuthouse |= Farm Outhouse
OuthouseBasic |= Basique
OuthouseMonster |= Monstre
OuthouseKid |= Enfant
OuthouseNature |= Nature

OfferingBowlInstructions |= This is the Brounie Bowl.\nPott the Brounie looks after your house and babies while you are away, but requires reward!\nEach day you need to place an item into the bowl. This item can be anything.\nForget to make an offering and Pott will give you a little curse.\nEach day he will add another up to a maximum of six.\nThese curses are...\n1 day of forgetting - ROTTEN CORE - apples go rotten on your trees.\n2 days of forgetting - CURDLE - cows can't be milked on the farm.\n3 days - BEE LAZY - no honey can be taken on the farm.\n4 days - LOOSE LIPS - fish don't bite in the farm ponds.\n5 days - BAILIFF - larder has 1 random item removed at midnight.\n6 days - BEFUDDLE - your children can't learn.\nMaking an offering will take the curse level down one stage.\nYour family can be ordered to make offerings in your place.\nSo don't forget!

ToolInstructions |= Some tools can be levelled with use and each level gained adds little bonuses.\nThe Pickaxe, Shovel, Slingshot, Fishing Rod, Sickle, Sword and Bow can all be levelled up.\nYou can increase yields, damage and so on, plus certain star ratings need a certain level of tool to get an extra star rating.\nTry using your sickle on anything that grows, or the slingshot to shoot down berries and apples.\nEvery successful use gains XP so equip accordingly and get using those tools!

UI_GoodStoreTaskFailed |= Good Store Help task failed by not attending Icabod before 10am on Day 11.
ThatterwayNoRegionTitle |= No region to point to
ThatterwayNoRegionDesc |= Search the world for the requested item
ThatterwayInRegionTitle |= In region
ThatterwayInRegionDesc |= You are in the correct region for this task
ThatterwayNoActiveTaskTitle |= No active task
ThatterwayNoActiveTaskDesc |= Set an active task to use the Thatterway
BuyFirstShopHeading |= Congratulations on buying your first shop!
BuyAnotherShopHeading |= You bought another shop!
BuyShopDetail |= A new shop provides new opportunities and free stuff.

RescueNoticeboardTaskSpecial1 |= Missing Child
RescueNoticeboardTaskSpecial2 |= Lost Sword
RescueNoticeboardTaskSpecial3 |= Prize Cow
RescueNoticeboardTaskPet |= Missing Pet
RescueNoticeboardTaskPerson |= Missing Person
RescueNoticeboardDescription |= Rescue <VAR1> from <VAR2>

Name_Boar |= Big Boar
Name_Stork |= Stork
Name_Sibling |= Sibling
Name_SiblingYoung |= Sibling
Name_HighPriest |= High Priest
Name_Crowd |= Crowd
Name_Pott |= Pott
Name_Fairweather |= Fairweather
Name_HagSally |= Sally Bloodnail
Name_HagAlice |= Alice Scratcheyes
Name_HagBetty |= Betty Strangleweeds
Name_Healer |= The Healer
Name_Wright |= The Wright
Name_Wanderer |= Wanderer
Name_Gnome |= Gnome
Name_Fairy |= Fairy
Name_Dryad |= Dryad
Name_Mossmen |= Mossman
Name_Empyrii |= Empyrii
Name_Organiser |= Organiser
Name_HubbardDog |= Mother Hubbard

SkillName_Hook_Item |= Hook Item
SkillDesc_Hook_Item |= With this you aren't limited to catching fish on your line!
SkillName_Fish_Eye |= Fish Eye
SkillDesc_Fish_Eye |= Press <alt_use> to scan for nearby fish.
SkillName_Angling_Map |= Angling Map
SkillDesc_Angling_Map |= Identify currently active fish using the Angling Map feature on the map screen.
SkillName_Land_Radius |= Big Hook
SkillDesc_Land_Radius |= Catch fish more easily when landing the hook directly on them.
SkillName_Ripple_Radius |= Unzipped Fly
SkillDesc_Ripple_Radius |= Attract fish from further away when rippling.
SkillName_Codswallop |= Codswallop
SkillDesc_Codswallop |= Fish near the hook will be splashed out of the water and automatically caught.
SkillName_Accurate_Aim |= Dace in the Hole
SkillDesc_Accurate_Aim |= The hook will land accurately in the centre of the target zone.
SkillName_Fish_Food |= Fish Food
SkillDesc_Fish_Food |= Throw food into the water to attract nearby fish.
SkillName_Parry |= Parry
SkillDesc_Parry |= Get the timing down to stun and counter enemy attacks.  Projectiles can be reflected too.
SkillName_Drag_Catch |= Drag Catch
SkillDesc_Drag_Catch |= With this an overshoot of the line can still catch the fish you are after if it hasn't been frightened!
